,country,year,d_riot,preds_proba,preds
524,Lithuania,2021,0,0.3404114806708868,0
525,Lithuania,2022,0,0.3312286767687093,0
526,Lithuania,2023,0,0.3253085722047112,0
527,Luxembourg,2020,0,0.5378674580902072,1
528,Luxembourg,2021,0,0.44579928223871496,0
529,Luxembourg,2022,0,0.4247306202828375,0
530,Luxembourg,2023,0,0.42041501470328674,0
531,Madagascar,2017,1,0.8790636467920501,1
532,Madagascar,2018,1,0.8532326625653435,1
533,Madagascar,2019,1,0.8649471979644286,1
534,Madagascar,2020,1,0.8366233674294565,1
535,Madagascar,2021,1,0.8120358181708462,1
536,Madagascar,2022,1,0.8472844217652913,1
537,Madagascar,2023,1,0.8604100208593275,1
538,Malawi,2017,1,0.8309473940019294,1
539,Malawi,2018,1,0.738987516585675,1
540,Malawi,2019,1,0.7351711665064828,1
541,Malawi,2020,1,0.7626430528132392,1
542,Malawi,2021,1,0.7579238088640416,1
543,Malawi,2022,1,0.7594942577214024,1
544,Malawi,2023,1,0.7976802786150987,1
545,Malaysia,2018,1,0.5432900586605531,1
546,Malaysia,2019,1,0.8156402281081823,1
547,Malaysia,2020,0,0.8276147742277361,1
548,Malaysia,2021,0,0.5502934856847213,1
549,Malaysia,2022,0,0.5592169089483472,1
550,Malaysia,2023,0,0.5420425351142713,1
551,Maldives,2020,1,0.47666215671534984,0
552,Maldives,2021,0,0.6742236231926411,1
553,Maldives,2022,0,0.48388120044653804,0
554,Maldives,2023,1,0.4918718827652206,0
555,Mali,2017,1,0.4019702972650763,0
556,Mali,2018,1,0.666544801694297,1
557,Mali,2019,1,0.7229507788613596,1
558,Mali,2020,1,0.7353760673227081,1
559,Mali,2021,1,0.7069037820702087,1
560,Mali,2022,1,0.7518056172619214,1
561,Mali,2023,1,0.7737695814352544,1
562,Malta,2020,1,0.4890337057976486,0
563,Malta,2021,0,0.7257860667753876,1
564,Malta,2022,0,0.48864736766551853,0
565,Malta,2023,0,0.5059958021045025,1
566,Mauritania,2017,0,0.41509312697552114,0
567,Mauritania,2018,0,0.41171461363123035,0
568,Mauritania,2019,1,0.5609507150978923,1
569,Mauritania,2020,1,0.6588208411218326,1
570,Mauritania,2021,1,0.6425406391306789,1
571,Mauritania,2022,0,0.6733462125485705,1
572,Mauritania,2023,1,0.39368899037247546,0
573,Mauritius,2020,1,0.4927816518550456,0
574,Mauritius,2021,1,0.7070457330773798,1
575,Mauritius,2022,1,0.6720610564284728,1
576,Mauritius,2023,1,0.6878478341723211,1
577,Mexico,2018,1,0.8347495843079145,1
578,Mexico,2019,1,0.9044611009571042,1
579,Mexico,2020,1,0.9019953566028684,1
580,Mexico,2021,1,0.8705079831339191,1
581,Mexico,2022,1,0.8659318904618397,1
582,Mexico,2023,1,0.8793400203379178,1
583,Moldova,2018,0,0.42513774937654647,0
584,Moldova,2019,1,0.40867346155452006,0
585,Moldova,2020,1,0.6699320520755769,1
586,Moldova,2021,1,0.6803386902433639,1
587,Moldova,2022,0,0.6615666275951005,1
