,country,year,d_osv,preds_proba,preds
552,Niger,2023,1,0.6414645343633547,1
553,Ivory Coast,2017,0,0.6618317117141246,1
554,Ivory Coast,2018,0,0.4479343587771752,0
555,Ivory Coast,2019,0,0.5330720838834182,1
556,Ivory Coast,2020,1,0.5739637766278322,1
557,Ivory Coast,2021,0,0.588891608886605,1
558,Ivory Coast,2022,0,0.5283307283164425,1
559,Ivory Coast,2023,0,0.4957576945397386,0
560,Guinea,2017,0,0.2832784711269688,0
561,Guinea,2018,0,0.24211084264104443,0
562,Guinea,2019,1,0.27559084734448946,0
563,Guinea,2020,0,0.40419699914925294,0
564,Guinea,2021,0,0.3013810108807317,0
565,Guinea,2022,0,0.278536793547255,0
566,Guinea,2023,0,0.3074506662191231,0
567,Burkina Faso,2017,1,0.5398547681695004,1
568,Burkina Faso,2018,1,0.47753877821610025,0
569,Burkina Faso,2019,1,0.44854826949789983,0
570,Burkina Faso,2020,1,0.4457762746667435,0
571,Burkina Faso,2021,1,0.45886845794886044,0
572,Burkina Faso,2022,1,0.5052111815337355,1
573,Burkina Faso,2023,1,0.5343866879467428,1
574,Liberia,2017,0,0.09005979072522187,0
575,Liberia,2018,0,0.11482202345407343,0
576,Liberia,2019,1,0.17206928121884385,0
577,Liberia,2020,1,0.3537674775421174,0
578,Liberia,2021,0,0.344769143865681,0
579,Liberia,2022,0,0.23280986264702574,0
580,Liberia,2023,0,0.19696600813044593,0
581,Sierra Leone,2017,0,0.06103519426878037,0
582,Sierra Leone,2018,0,0.11066267579160383,0
583,Sierra Leone,2019,0,0.10362603320923741,0
584,Sierra Leone,2020,0,0.11347548683073751,0
585,Sierra Leone,2021,1,0.09566998360703415,0
