,country,year,d_protest,preds_proba,preds
494,Latvia,2023,1,0.6089717441378749,1
495,Lebanon,2017,1,0.8531138723480753,1
496,Lebanon,2018,1,0.8549467878410927,1
497,Lebanon,2019,1,0.8320415791555287,1
498,Lebanon,2020,1,0.8166182419419482,1
499,Lebanon,2021,1,0.7730005474887135,1
500,Lebanon,2022,1,0.7567143658511684,1
501,Lebanon,2023,1,0.7301333750824959,1
502,Lesotho,2017,0,0.11858210132234168,0
503,Lesotho,2018,0,0.117775819407582,0
504,Lesotho,2019,0,0.15609815266138852,0
505,Lesotho,2020,0,0.15686926620226382,0
506,Lesotho,2021,0,0.18101899956525308,0
507,Lesotho,2022,0,0.1796969935035872,0
508,Lesotho,2023,0,0.18450322637109293,0
509,Liberia,2017,0,0.3314359447140536,0
510,Liberia,2018,0,0.3348903740259519,0
511,Liberia,2019,1,0.3247691501401261,0
512,Liberia,2020,1,0.3304688981817698,0
513,Liberia,2021,0,0.3134291159316866,0
514,Liberia,2022,0,0.3115178710316716,0
515,Liberia,2023,1,0.30244129266790953,0
516,Libya,2017,1,0.853028854424494,1
517,Libya,2018,1,0.8005901900691875,1
518,Libya,2019,1,0.8200711344590638,1
519,Libya,2020,1,0.8285612446912995,1
520,Libya,2021,1,0.7703630500695009,1
521,Libya,2022,1,0.7513076637489,1
522,Libya,2023,1,0.6930128622309056,1
523,Lithuania,2020,1,0.6399047934648914,1
524,Lithuania,2021,1,0.6401757725679428,1
525,Lithuania,2022,1,0.6321353521319899,1
526,Lithuania,2023,1,0.6113470079290108,1
527,Luxembourg,2020,1,0.6074034004359875,1
528,Luxembourg,2021,1,0.6039965445415894,1
529,Luxembourg,2022,1,0.5886542890861254,1
530,Luxembourg,2023,1,0.5680971941803824,1
531,Madagascar,2017,0,0.4215151997435258,0
532,Madagascar,2018,0,0.4064687264517168,0
533,Madagascar,2019,1,0.37226184484389047,0
534,Madagascar,2020,1,0.4032669367611291,0
535,Madagascar,2021,1,0.39507448692102176,0
536,Madagascar,2022,1,0.3844959591633407,0
537,Madagascar,2023,1,0.3824575279030011,0
538,Malawi,2017,0,0.11952631259777607,0
539,Malawi,2018,0,0.13753342286882997,0
540,Malawi,2019,1,0.16077435903578352,0
541,Malawi,2020,1,0.18988715789095134,0
542,Malawi,2021,1,0.21102475361275355,0
543,Malawi,2022,1,0.2370246233869459,0
544,Malawi,2023,1,0.2392478292142537,0
545,Malaysia,2018,1,0.6989539086662916,1
546,Malaysia,2019,1,0.7184116672567832,1
547,Malaysia,2020,1,0.7300528596217598,1
548,Malaysia,2021,1,0.7091288215636284,1
549,Malaysia,2022,1,0.7120919249474664,1
550,Malaysia,2023,1,0.6858790421322676,1
551,Maldives,2020,1,0.5864815200197357,1
552,Maldives,2021,1,0.5975342829031876,1
553,Maldives,2022,1,0.627371361495288,1
554,Maldives,2023,1,0.6477136232603595,1
555,Mali,2017,0,0.1627628844314381,0
556,Mali,2018,1,0.22467576165571654,0
557,Mali,2019,1,0.24747572772288634,0
558,Mali,2020,1,0.3050515557288847,0
559,Mali,2021,1,0.3026219642238029,0
560,Mali,2022,1,0.30574977849007356,0
561,Mali,2023,1,0.2964162374821947,0
562,Malta,2020,1,0.6133209709498175,1
563,Malta,2021,1,0.6021011976979664,1
564,Malta,2022,1,0.5863354833768419,1
565,Malta,2023,1,0.5601987066740689,1
566,Mauritania,2017,1,0.44234490889362826,0
567,Mauritania,2018,1,0.4921989750181494,0
568,Mauritania,2019,1,0.47556797528455097,0
569,Mauritania,2020,1,0.4412502726898625,0
570,Mauritania,2021,1,0.44856725496588096,0
571,Mauritania,2022,1,0.4354507543998092,0
572,Mauritania,2023,1,0.40494469965370244,0
573,Mauritius,2020,1,0.6230639325612352,1
574,Mauritius,2021,1,0.6145036576902038,1
575,Mauritius,2022,1,0.6003821139747663,1
576,Mauritius,2023,1,0.5893464060370797,1
577,Mexico,2018,1,0.785528232148653,1
578,Mexico,2019,1,0.7980520517580356,1
579,Mexico,2020,1,0.8101008839075106,1
580,Mexico,2021,1,0.7957937879415125,1
581,Mexico,2022,1,0.7813289419962532,1
582,Mexico,2023,1,0.7672382128268468,1
583,Moldova,2018,1,0.6922079128646188,1
584,Moldova,2019,1,0.6824530961397668,1
585,Moldova,2020,1,0.6733443612030371,1
586,Moldova,2021,1,0.7144731696897316,1
587,Moldova,2022,1,0.6934115445906801,1
